Single-threaded,,,2-threads,,,4-threads,,,,,,,,,,,
,,,,,,,,,Speedup Single - 2 Threads,,,Speedup Single - 4 Threads,,,Speedup 2 - 4 threads,,
4294867432,3.2224,,4294867432,0.8644,,4294867432,1.4355,,,3.727903748,,,2.244792755,,,0.602159526,
4294867433,5.5134,,4294867433,1.2355,,4294867433,2.0243,,,4.462484824,,,2.723608161,,,0.610334437,
4294867434,6.328,,4294867434,1.1222,,4294867434,2.2569,,,5.638923543,,,2.803845983,,,0.497230715,
4294867435,5.3155,,4294867435,0.9106,,4294867435,1.4829,,,5.837359982,,,3.584530312,,,0.614067031,
4294867436,4.5162,,4294867436,0.5109,,4294867436,1.1329,,,8.839694656,,,3.986406567,,,0.450966546,
4294867437,5.0421,,4294867437,0.8996,,4294867437,1.6524,,,5.604824366,,,3.051379811,,,0.544420237,
4294867438,2.8938,,4294867438,0.8709,,4294867438,1.343,,,3.322769549,,,2.15472822,,,0.648473567,
4294867439,3.2575,,4294867439,1.1024,,4294867439,1.8394,,,2.954916546,,,1.770957921,,,0.599325867,
4294867440,5.5516,,4294867440,1.4858,,4294867440,2.5841,,,3.736438282,,,2.148368871,,,0.574977749,
4294867441,9.3805,,4294867441,2.0469,,4294867441,3.6685,,,4.582783722,,,2.557039662,,,0.557966471,
4294867442,4.767,,4294867442,0.6126,,4294867442,1.2102,,,7.78158668,,,3.939018344,,,0.506197323,
4294867443,5.7519,,4294867443,0.7934,,4294867443,1.6449,,,7.2496849,,,3.496808317,,,0.482339352,
4294867444,8.9383,,4294867444,2.0115,,4294867444,4.1354,,,4.443599304,,,2.16141123,,,0.486410021,
4294867445,2.8993,,4294867445,0.8359,,4294867445,2.5792,,,3.468477091,,,1.124108251,,,0.324092742,
4294867446,1.4218,,4294867446,0.7391,,4294867446,0.8283,,,1.923690976,,,1.716527828,,,0.89230955,
4294867447,10.353,,4294867447,1.396,,4294867447,2.2061,,,7.416189112,,,4.692896967,,,0.632790898,
4294867448,5.7634,,4294867448,0.5598,,4294867448,1.2013,,,10.29546267,,,4.797635894,,,0.465995172,
4294867449,10.7629,,4294867449,1.4806,,4294867449,3.0439,,,7.269282723,,,3.535891455,,,0.486415454,
4294867450,2.2531,,4294867450,0.6171,,4294867450,1.0458,,,3.651110031,,,2.154427233,,,0.590074584,
4294867451,5.6434,,4294867451,1.1822,,4294867451,2.4396,,,4.773642362,,,2.313248073,,,0.484587637,
4294867452,2.5024,,4294867452,0.6001,,4294867452,1.1388,,,4.169971671,,,2.197400773,,,0.526958202,
4294867453,4.5455,,4294867453,0.8821,,4294867453,1.9105,,,5.153043873,,,2.379220099,,,0.461711594,
4294867454,3.1085,,4294867454,0.6578,,4294867454,1.1697,,,4.725600486,,,2.657519022,,,0.562366419,
4294867455,1.4622,,4294867455,0.5945,,4294867455,1.1004,,,2.459545837,,,1.328789531,,,0.540258088,
4294867456,1.8543,,4294867456,0.539,,4294867456,1.0601,,,3.44025974,,,1.749174606,,,0.5084426,
4294867457,9.0817,,4294867457,1.1863,,4294867457,2.1825,,,7.655483436,,,4.161145475,,,0.543550974,
4294867458,3.9785,,4294867458,1.4787,,4294867458,2.6029,,,2.690538987,,,1.528487456,,,0.568097122,
4294867459,3.1232,,4294867459,0.8573,,4294867459,1.6622,,,3.643065438,,,1.878955601,,,0.515762243,
4294867460,5.9066,,4294867460,1.3448,,4294867460,2.3185,,,4.392177275,,,2.547595428,,,0.580030192,
4294867461,3.1105,,4294867461,0.6026,,4294867461,1.4515,,,5.161798872,,,2.142955563,,,0.415156734,
4294867462,4.2591,,4294867462,1.3822,,4294867462,2.1247,,,3.081391984,,,2.00456535,,,0.6505389,
4294867463,5.2251,,4294867463,1.4197,,4294867463,2.698,,,3.680425442,,,1.936656783,,,0.526204596,
4294867464,7.0596,,4294867464,1.6155,,4294867464,2.5487,,,4.369916435,,,2.769882685,,,0.633852552,
4294867465,3.7364,,4294867465,0.8667,,4294867465,1.6315,,,4.311064959,,,2.290162427,,,0.53122893,
4294867466,2.4484,,4294867466,0.6052,,4294867466,0.9813,,,4.045604759,,,2.495057577,,,0.616732905,
4294867467,7.0212,,4294867467,1.2762,,4294867467,2.2027,,,5.50164551,,,3.187542561,,,0.579379852,
4294867468,1.5351,,4294867468,0.7253,,4294867468,1.1796,,,2.116503516,,,1.301373347,,,0.614869447,
4294867469,7.4282,,4294867469,0.9043,,4294867469,1.8906,,,8.214309411,,,3.929017243,,,0.478313763,
4294867470,4.5456,,4294867470,1.3549,,4294867470,2.2368,,,3.354933943,,,2.032188841,,,0.605731402,
4294867471,3.9139,,4294867471,0.7513,,4294867471,1.1197,,,5.209503527,,,3.495489863,,,0.670983299,
4294867472,7.53,,4294867472,1.2368,,4294867472,2.1775,,,6.088292367,,,3.458094145,,,0.567990815,
4294867473,3.8071,,4294867473,1.1019,,4294867473,1.1275,,,3.455032217,,,3.376585366,,,0.9772949,
4294867474,2.8963,,4294867474,0.8723,,4294867474,1.5102,,,3.320302648,,,1.917825454,,,0.577605615,
4294867475,2.1706,,4294867475,0.5392,,4294867475,0.7875,,,4.025593472,,,2.75631746,,,0.684698413,
4294867476,4.0401,,4294867476,0.586,,4294867476,1.1431,,,6.894368601,,,3.534336454,,,0.512641064,
4294867477,5.2206,,4294867477,1.1581,,4294867477,2.2773,,,4.507900872,,,2.292451587,,,0.508540816,
4294867478,2.0314,,4294867478,0.781,,4294867478,1.1824,,,2.601024328,,,1.718031123,,,0.660520974,
4294867479,5.3004,,4294867479,1.5715,,4294867479,2.9549,,,3.372828508,,,1.793766287,,,0.531828488,
4294867480,3.1561,,4294867480,0.5132,,4294867480,0.7796,,,6.149844115,,,4.048358132,,,0.658286301,
4294867481,4.3117,,4294867481,1.4941,,4294867481,2.688,,,2.885817549,,,1.60405506,,,0.555840774,
4294867482,4.7436,,4294867482,1.6281,,4294867482,2.6559,,,2.913580247,,,1.786061222,,,0.613012538,
4294867483,3.4317,,4294867483,0.6296,,4294867483,1.2245,,,5.450603558,,,2.802531646,,,0.514169049,
4294867484,2.6868,,4294867484,0.8435,,4294867484,1.1547,,,3.185299348,,,2.32683814,,,0.730492769,
4294867485,2.1243,,4294867485,0.6233,,4294867485,0.8555,,,3.408150168,,,2.483109293,,,0.728579778,
4294867486,1.997,,4294867486,1.1957,,4294867486,2.0063,,,1.670151376,,,0.995364602,,,0.595972686,
4294867487,4.8915,,4294867487,0.7054,,4294867487,1.1,,,6.934363482,,,4.446818182,,,0.641272727,
4294867488,3.4765,,4294867488,0.9136,,4294867488,1.6322,,,3.805275832,,,2.12994731,,,0.559735327,
4294867489,13.0332,,4294867489,1.3196,,4294867489,5.2348,,,9.876629282,,,2.489722626,,,0.252082219,
4294867490,1.1143,,4294867490,0.7905,,4294867490,0.917,,,1.409614168,,,1.215158124,,,0.862050164,
4294867491,8.9479,,4294867491,0.9816,,4294867491,1.7161,,,9.115627547,,,5.214090088,,,0.571994639,
4294867492,5.5722,,4294867492,1.217,,4294867492,2.088,,,4.57863599,,,2.668678161,,,0.582854406,
4294867493,5.0904,,4294867493,1.355,,4294867493,2.243,,,3.756752768,,,2.269460544,,,0.60410165,
4294867494,3.4468,,4294867494,0.7972,,4294867494,1.0706,,,4.323632715,,,3.219503082,,,0.74462918,
4294867495,3.9922,,4294867495,0.6568,,4294867495,1.1422,,,6.078258222,,,3.495184731,,,0.575030643,
4294867496,1.5063,,4294867496,0.6133,,4294867496,1.0374,,,2.456057394,,,1.451995373,,,0.591189512,
4294867497,10.4545,,4294867497,1.035,,4294867497,1.2788,,,10.10096618,,,8.175242415,,,0.809352518,
4294867498,6.8338,,4294867498,0.8954,,4294867498,1.6258,,,7.632119723,,,4.203346045,,,0.550744249,
4294867499,5.8645,,4294867499,1.3165,,4294867499,2.4766,,,4.454614508,,,2.367964144,,,0.531575547,
4294867500,5.6265,,4294867500,0.6856,,4294867500,0.9875,,,8.20668028,,,5.697721519,,,0.694278481,
4294867501,2.0071,,4294867501,0.6203,,4294867501,1.04,,,3.235692407,,,1.929903846,,,0.596442308,
4294867502,2.8234,,4294867502,0.9219,,4294867502,1.7601,,,3.062588133,,,1.604113403,,,0.523777058,
4294867503,6.5148,,4294867503,0.7787,,4294867503,1.6261,,,8.366251445,,,4.006395671,,,0.478875838,
4294867504,5.8854,,4294867504,2.0611,,4294867504,2.1038,,,2.855465528,,,2.797509269,,,0.979703394,
4294867505,5.1714,,4294867505,0.581,,4294867505,1.0823,,,8.900860585,,,4.778157627,,,0.536819736,
4294867506,6.9403,,4294867506,0.9287,,4294867506,1.7825,,,7.473134489,,,3.893576438,,,0.521009818,
4294867507,3.3945,,4294867507,0.8218,,4294867507,2.1188,,,4.130567048,,,1.602086086,,,0.387861053,
4294867508,11.6171,,4294867508,1.8359,,4294867508,3.3021,,,6.327741162,,,3.518094546,,,0.555979528,
4294867509,1.5096,,4294867509,0.5925,,4294867509,1.083,,,2.547848101,,,1.393905817,,,0.547091413,
4294867510,3.4994,,4294867510,0.841,,4294867510,1.622,,,4.160998811,,,2.157459926,,,0.518495684,
4294867511,4.1402,,4294867511,0.8566,,4294867511,1.6825,,,4.83329442,,,2.460742942,,,0.509123328,
