Single Threaded,,,Multi-Threaded,,,
Number,Time to complete (ms),,Number,Time to complete (ms),,
164,0.7361,,164,0.5441,,1.35287631
165,0.6746,,165,0.5322,,1.267568583
166,1.5897,,166,0.5476,,2.90303141
167,0.6064,,167,0.5693,,1.06516775
168,0.6686,,168,0.6093,,1.097324799
169,2.0964,,169,1.1664,,1.797325103
170,0.9588,,170,0.526,,1.822813688
171,0.878,,171,0.5875,,1.494468085
172,1.7496,,172,0.5324,,3.286250939
173,0.9683,,173,0.5685,,1.703254178
174,0.9957,,174,0.6149,,1.619287689
175,0.7967,,175,0.5328,,1.495307808
176,0.8088,,176,0.5264,,1.536474164
177,0.9317,,177,0.6006,,1.551282051
178,1.124,,178,0.5481,,2.050720671
179,0.6551,,179,0.5811,,1.127344691
180,0.0104,,180,0.0105,,0.99047619
181,0.8718,,181,0.5416,,1.609675037
182,1.6838,,182,1.1009,,1.529475883
183,0.8396,,183,0.5293,,1.586245985
184,0.9885,,184,0.5239,,1.88681046
185,0.7708,,185,0.616,,1.251298701
186,0.9422,,186,0.5904,,1.595867209
187,1.9922,,187,1.0921,,1.824191924
188,0.9177,,188,0.5625,,1.631466667
189,1.6785,,189,0.5347,,3.139143445
190,0.937,,190,0.551,,1.700544465
191,0.8937,,191,0.6591,,1.355939918
192,0.0118,,192,0.0071,,1.661971831
193,0.6375,,193,0.6435,,0.990675991
194,7.1416,,194,0.6279,,11.37378563
195,0.5367,,195,0.5947,,0.902471835
196,1.4031,,196,1.0878,,1.289851076
197,2.3246,,197,0.598,,3.88729097
198,5.1224,,198,0.5485,,9.338924339
199,1.2043,,199,0.5746,,2.095892795
200,0.0163,,200,0.0074,,2.202702703
201,1.5911,,201,0.5474,,2.906649616
202,0.5279,,202,0.5277,,1.000379003
203,2.3298,,203,1.9415,,1.2
204,0.6541,,204,1.204,,0.543272425
205,1.0714,,205,0.619,,1.73085622
206,0.6469,,206,0.5719,,1.131141808
207,0.9713,,207,0.557,,1.743806104
208,1.4917,,208,0.5482,,2.721087194
209,1.7198,,209,1.2008,,1.432211859
210,1.2186,,210,0.5176,,2.354327666
211,0.8578,,211,0.6517,,1.316249808
212,1.2207,,212,0.5568,,2.192349138
213,1.0907,,213,0.5751,,1.896539732
214,0.5273,,214,0.554,,0.951805054
215,1.4592,,215,0.5452,,2.67644901
216,0.0104,,216,0.0098,,1.06122449
217,1.2487,,217,1.0565,,1.181921439
218,0.8128,,218,0.478,,1.70041841
219,0.7172,,219,0.5977,,1.199933077
220,1.2951,,220,0.5811,,2.228704182
221,3.573,,221,1.1387,,3.137788706
222,0.8902,,222,0.5747,,1.548982078
223,0.7908,,223,0.5454,,1.449944994
224,0.7881,,224,0.531,,1.484180791
225,0.0109,,225,0.0101,,1.079207921
226,0.6409,,226,0.5678,,1.128742515
227,0.6924,,227,0.5882,,1.177150629
228,1.1843,,228,0.5454,,2.17143381
229,0.5419,,229,0.5322,,1.018226231
230,1.0388,,230,0.5948,,1.746469401
231,1.427,,231,1.3134,,1.086493071
232,0.9249,,232,0.5656,,1.635254597
233,0.6894,,233,0.7228,,0.953790814
234,1.1537,,234,0.5779,,1.996366153
235,0.7272,,235,0.6247,,1.164078758
236,0.8296,,236,0.5922,,1.400878082
